,experiment,hour,device_make,platform_os,browser,yes
671,exposed,0,Samsung,101,6,1.0
672,exposed,22,Samsung,101,6,1.0
673,exposed,23,Apple,101,7,0.0
674,exposed,5,Samsung,101,6,1.0
675,exposed,15,Samsung,162,15,0.0
676,exposed,3,Google,101,6,1.0
677,exposed,20,Apple,178,7,0.0
678,exposed,3,Google,101,6,0.0
679,control,5,Apple,101,7,1.0
680,exposed,15,Samsung,101,6,0.0
681,exposed,15,Google,101,6,1.0
682,control,16,Apple,178,6,0.0
683,exposed,1,Apple,178,15,0.0
684,exposed,21,Samsung,101,6,1.0
685,control,0,Apple,101,15,0.0
686,exposed,6,Samsung,156,15,1.0
687,exposed,10,Samsung,145,6,0.0
688,exposed,16,Apple,101,7,0.0
689,exposed,1,Samsung,101,6,1.0
690,exposed,14,Samsung,162,15,1.0
691,exposed,17,Samsung,101,6,1.0
692,exposed,1,Google,101,6,1.0
693,exposed,16,Samsung,101,6,1.0
694,exposed,22,Google,101,6,1.0
695,control,7,Apple,101,15,1.0
696,control,8,Samsung,162,15,0.0
697,exposed,13,Google,101,6,1.0
698,exposed,3,Samsung,162,6,1.0
699,exposed,2,Samsung,162,6,1.0
700,exposed,1,Samsung,101,6,1.0
701,exposed,3,Samsung,101,6,1.0
702,control,9,Apple,101,15,0.0
703,exposed,23,Apple,101,6,0.0
704,control,0,Apple,174,6,0.0
705,exposed,2,Motorola,155,15,1.0
706,exposed,2,Apple,101,15,1.0
707,exposed,1,Motorola,162,15,1.0
708,exposed,16,Samsung,179,15,0.0
